t_s,i_a,soc,vp_v,ocv_v,vt_v
8656.0,0.0,0.7816666666664549,-4.545973362425853e-11,3.795799004497471,3.7957990045429306
8657.0,0.0,0.7816666666664549,-4.442655786007084e-11,3.795799004497471,3.7957990045418977
8658.0,0.0,0.7816666666664549,-4.341686336325104e-11,3.795799004497471,3.795799004540888
8659.0,0.0,0.7816666666664549,-4.2430116468631704e-11,3.795799004497471,3.795799004539901
8660.0,0.0,0.7816666666664549,-4.1465795639799165e-11,3.795799004497471,3.795799004538937
8661.0,0.0,0.7816666666664549,-4.0523391193440095e-11,3.795799004497471,3.7957990045379946
8662.0,0.0,0.7816666666664549,-3.960240502995282e-11,3.795799004497471,3.7957990045370735
8663.0,0.0,0.7816666666664549,-3.8702350370181166e-11,3.795799004497471,3.7957990045361734
8664.0,0.0,0.7816666666664549,-3.782275149813159e-11,3.795799004497471,3.7957990045352936
8665.0,0.0,0.7816666666664549,-3.696314350953769e-11,3.795799004497471,3.7957990045344343
8666.0,0.0,0.7816666666664549,-3.612307206613911e-11,3.795799004497471,3.795799004533594
8667.0,0.0,0.7816666666664549,-3.5302093155545036e-11,3.795799004497471,3.795799004532773
8668.0,0.0,0.7816666666664549,-3.4499772856555374e-11,3.795799004497471,3.795799004531971
8669.0,0.0,0.7816666666664549,-3.3715687109815476e-11,3.795799004497471,3.7957990045311867
8670.0,0.0,0.7816666666664549,-3.2949421493683305e-11,3.795799004497471,3.7957990045304206
8671.0,0.0,0.7816666666664549,-3.22005710051905e-11,3.795799004497471,3.7957990045296714
8672.0,0.0,0.7816666666664549,-3.1468739845981625e-11,3.795799004497471,3.7957990045289396
8673.0,0.0,0.7816666666664549,-3.0753541213118405e-11,3.795799004497471,3.7957990045282246
8674.0,0.0,0.7816666666664549,-3.0054597094638445e-11,3.795799004497471,3.7957990045275256
8675.0,0.0,0.7816666666664549,-2.9371538069760297e-11,3.795799004497471,3.7957990045268426
8676.0,0.0,0.7816666666664549,-2.870400311362938e-11,3.795799004497471,3.795799004526175
